# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	5035
#@/user_id	salt-linux
a 	啊	c=5 d=2.59854 t=5035
dao xian zai 	到現在	c=1 d=0.763379 t=5035
dao zhi 	導致	c=0 d=0.00893472 t=5035
dao zhi de 	導致的	c=1 d=0.0169922 t=5035
de 	的	c=193 d=11.54 t=5035
dei 	得	c=1 d=0.0488012 t=5035
den 	㩐	c=1 d=0.951229 t=5035
deng 	等	c=7 d=1.34932 t=5035
deng jia 	等價	c=1 d=0.818731 t=5035
deng lu 	登錄	c=1 d=0.38868 t=5035
deng xin rong 	燈芯絨	c=2 d=1.51159 t=5035
di 	低	c=0 d=0.0189191 t=5035
di er zhang 	第二章	c=1 d=0.431711 t=5035
di gui 	遞歸	c=1 d=0.362402 t=5035
di mian 	地面	c=1 d=0.203926 t=5035
di qu 	地區	c=1 d=0.744532 t=5035
di san fang 	第三方	c=3 d=2.4848 t=5035
di san zhang 	第三章	c=1 d=0.433874 t=5035
di shu 	底數	c=1 d=0.489192 t=5035
di si zhang 	第四章	c=1 d=0.436049 t=5035
di tu 	地圖	c=1 d=1.09851 t=5032
di wei 	地位	c=0 d=0.00193512 t=5035
di xin zao 	低信噪	c=1 d=0.210531 t=5035
di xin zao bi 	低信噪比	c=1 d=0.204948 t=5035
di yi 	第一	c=1 d=0.818731 t=5035
di yi ci 	第一次	c=1 d=1 t=4921
di yi ge 	第一個	c=1 d=0.603506 t=5035
di yi ti 	第一題	c=1 d=0.839457 t=5035
di yi wei 	第一位	c=1 d=0.137381 t=5035
di yi zhang 	第一章	c=1 d=0.429557 t=5035
di yi zhen 	第一幀	c=1 d=0.694197 t=5035
di zhi 	地址	c=2 d=1.17779 t=5035
dian 	點	c=1 d=0.198353 t=5035
dian ji 	點擊	c=1 d=0.386741 t=5035
dian lu 	電路	c=1 d=0.451581 t=5035
dian na ge 	點那個	c=1 d=0.759572 t=5035
dian nao 	電腦	c=3 d=0.87522 t=5035
dian nao qian 	電腦前	c=1 d=0.164474 t=5035
dian ying 	電影	c=2 d=1.01397 t=5035
dian zi shu 	電子書	c=1 d=0.509156 t=5035
dian zi xin xi 	電子信息	c=2 d=0.250192 t=5035
diao yong 	調用	c=5 d=2.17939 t=5035
die dai 	迭代	c=3 d=1.34856 t=5035
die dai qi 	迭代器	c=3 d=2.97516 t=4983
ding shi 	定勢	c=0 d=0.0418952 t=5035
